last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,timestamp,open,high,low,close,volume
04-04-2025 09:15,-40.7,563625,158,154500,65925,-36.1,-38,88575,-438.7,32700,114450,N,20325,N,23190.95,23193.7,23153,23197.55,23151,04-04-2025 09:15,-21.35,5472000,165,239250,202575,-22.25,-22.25,36675,-82.45,38775,683850,N,196500,N,121.25,99.9,121.7,98.8,115.56,04-04-2025 09:15,33.95,5180550,165,138300,134625,34.45,34.4,3675,-157.15,37425,291450,N,24975,N,192.25,226.2,228.65,192.25,206.35,04-04-2025 09:15,1743738300,13.6,14.01,13.4,13.92,0
04-04-2025 09:20,-53,496125,180,269100,112350,-53,-55.5,156750,-761.2,42600,-7950,YES,28125,N,23162.87,23153,23100,23155,23085.45,04-04-2025 09:20,-18.95,5335650,180,303225,338775,-19.9,-19.9,-35550,-67.1,43950,-78600,YES,261450,YES,99.65,80.7,99.65,77.4,103.8,04-04-2025 09:20,37.05,3700725,180,108300,117450,37.6,37.7,-9150,-192.15,37050,-248100,Y,-2925,YES,226.5,263.55,273.15,226.45,223.23,04-04-2025 09:20,1743738600,13.93,14.25,13.91,14.08,0
04-04-2025 09:25,36.25,315975,180,172125,172200,35.75,38,-75,-930.7,42825,43800,Y,7725,N,23154.68,23100,23136.25,23139.05,23100,04-04-2025 09:25,8.95,3947625,179,322800,318450,9.05,9.05,4350,-71.4,44550,209250,Y,129150,N,81.35,90.3,91.65,80,99.33,04-04-2025 09:25,-31.2,1555575,179,100575,98100,-31.75,-31.7,2475,-180.6,36225,-46425,YES,50250,Y,262,230.8,262.35,230.5,226.38,04-04-2025 09:25,1743738900,14.09,14.09,13.88,13.88,0
04-04-2025 09:30,50.9,255450,179,106575,108675,53.75,53.5,-2100,-1181.05,36975,42900,N,-6375,Y,23154.63,23139.35,23190.25,23194.9,23118.05,04-04-2025 09:30,18.65,6324750,179,341025,269250,20.75,20.85,71775,-78.05,44850,1170450,Y,-260250,Y,90.4,109.05,112.2,84.45,98.99,04-04-2025 09:30,-33.2,2028075,180,126525,105225,-36.2,-36.25,21300,-174.25,39450,-37350,N,45450,N,232.25,199.05,248.85,193.3,225.67,04-04-2025 09:30,1743739200,13.89,13.91,13.69,13.71,0
04-04-2025 09:35,4.95,204300,177,122475,256275,4.3,0,-133800,-999.85,37800,29025,N,63150,YES,23157.87,23185.05,23190,23206.4,23168.2,04-04-2025 09:35,1.55,5622150,180,261450,231600,2.45,2.4,29850,-92.2,39000,-7050,YES,161100,YES,109.05,110.6,121.65,101.15,101.46,04-04-2025 09:35,-1.35,1854450,180,108075,134025,-2.25,-2.1,-25950,-154.3,37050,21825,YES,60975,N,198.35,197,210.1,188.65,222.65,04-04-2025 09:35,1743739500,13.72,13.83,13.7,13.8,0
04-04-2025 09:40,-58.3,156000,170,130200,90600,-56.55,-54.25,39600,-915.8,29175,12450,N,-10875,Y,23158.12,23189.95,23131.65,23189.95,23125.55,04-04-2025 09:40,-21.15,3579075,180,295125,265350,-20.55,-20.6,29775,-86.4,44400,-3825,N,165375,N,110.75,89.6,111.15,86.2,101.22,04-04-2025 09:40,32.75,1945425,180,134175,135900,32.8,32.8,-1725,-160.1,40650,50550,YES,-83175,YES,196.75,229.5,234.9,196.75,221.56,04-04-2025 09:40,1743739800,13.79,13.89,13.78,13.89,0
04-04-2025 09:45,-13.65,146550,170,164700,87075,-16.65,-16.5,77625,-1072.45,35625,22425,N,20850,YES,23156.21,23131.65,23118,23144,23111.55,04-04-2025 09:45,-7.8,3492450,180,448050,295650,-7.9,-7.9,152400,-73.6,43875,97950,Y,145200,N,88.5,80.7,92.25,80.4,99.66,04-04-2025 09:45,8.7,1715850,180,108000,117675,10.1,10.2,-9675,-178.7,41025,-5400,Y,25575,Y,230.95,239.65,242.65,219.4,222.54,04-04-2025 09:45,1743740100,13.9,13.91,13.83,13.86,0
04-04-2025 09:50,-63.1,363750,179,267225,102075,-59.05,-59.15,165150,-1326.8,38550,-51000,YES,50400,YES,23146.7,23118.7,23055.6,23118.7,23055.6,04-04-2025 09:50,-18.1,4705950,180,349875,337650,-18.15,-18.2,12225,-63.85,51300,-189225,YES,95400,N,80.55,62.45,81.95,62.3,96.32,04-04-2025 09:50,38.2,2433525,180,105825,199875,39.1,39,-94050,-195.95,42525,-33225,Y,-113475,YES,240.75,278.95,279.85,237,226.78,04-04-2025 09:50,1743740400,13.87,13.95,13.84,13.93,0
04-04-2025 09:55,2.05,162375,172,226425,82050,7.7,9,144375,-1195.85,39825,6675,Y,7725,N,23142.53,23059.95,23062,23084,23056.35,04-04-2025 09:55,1.55,2815500,180,362250,398850,0.85,0.9,-36600,-54.05,43125,92325,Y,109800,N,62,63.55,68.65,62,94.28,04-04-2025 09:55,-7.6,907950,180,84450,86325,-4.85,-4.7,-1875,-207.15,34200,-6000,YES,32400,Y,280.7,273.1,280.7,261.25,228.55,04-04-2025 09:55,1743740700,13.92,13.94,13.81,13.87,0
04-04-2025 10:00,-30.05,230775,177,179850,84000,-28.75,-30.55,95850,-1212.4,37350,-25050,YES,26325,N,23135.73,23068.2,23038.15,23077.7,23031,04-04-2025 10:00,-9,3598650,180,553350,450900,-9.1,-9.1,102450,-55.4,44850,-30675,YES,136950,YES,64.3,55.3,66.55,54.5,91.55,04-04-2025 10:00,20.5,1235625,180,94500,77475,21.65,21.55,17025,-226.85,40275,2700,N,-60000,YES,272.05,292.55,298.2,263.6,231.47,04-04-2025 10:00,1743741000,13.9,13.97,13.85,13.92,0
