last_traded_time,ltp,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
2025-04-01 10:00:00,54.2,1575,7.105427357601002e-15,24225,41100.0,N,-6150.0,N,-0.45000000000000284
2025-04-01 10:05:00,49.85,-3600,0.10000000000000142,46800,5775.0,N,82500.0,YES,-0.5200000000000031
2025-04-01 10:10:00,44.9,3075,-0.09999999999999432,49725,-1575.0,YES,93375.0,N,-0.7100000000000009
2025-04-01 10:15:00,54.4,70650,0.0,49125,135975.0,Y,-53550.0,Y,-0.5600000000000023
2025-04-01 10:20:00,30.75,-57675,-0.05000000000000426,52125,-243750.0,YES,61050.0,YES,-1.6799999999999997
2025-04-01 10:25:00,22.6,-103650,-0.05000000000000071,67425,2657475.0,Y,179100.0,YES,-3.280000000000001
2025-04-01 10:30:00,21.35,250575,-0.04999999999999716,61200,135525.0,N,106575.0,N,-2.6700000000000017
2025-04-01 10:35:00,24.2,517425,0.0,56550,53775.0,N,-29475.0,Y,-1.1499999999999986
2025-04-01 10:40:00,25.1,80325,0.05000000000000071,55350,66375.0,N,67425.0,YES,-0.8200000000000003
2025-04-01 10:45:00,23.5,113100,-0.04999999999999716,62475,-67275.0,YES,88125.0,YES,-0.759999999999998
2025-04-01 10:50:00,23.6,93450,-0.05000000000000071,62325,63450.0,Y,-1050.0,Y,-0.5700000000000003
2025-04-01 10:55:00,18.0,184875,0.05000000000000071,59475,-327450.0,YES,154800.0,YES,-1.7000000000000028
2025-04-01 11:00:00,16.15,-773025,0.05000000000000071,62700,-675.0,Y,107325.0,N,-0.7299999999999969
2025-04-01 11:05:00,16.55,2257575,1.7763568394002505e-15,77325,90375.0,Y,-136200.0,Y,-1.6199999999999974
2025-04-01 11:10:00,15.75,855000,-0.05000000000000249,69300,-69975.0,YES,91050.0,YES,-0.5
2025-04-01 11:15:00,16.4,-533250,0.0,72825,42825.0,Y,64800.0,N,-0.4200000000000017
2025-04-01 11:20:00,17.1,-246825,-3.552713678800501e-15,65775,40650.0,N,94050.0,YES,-0.23000000000000398
2025-04-01 11:25:00,17.2,-199875,-1.7763568394002505e-15,72225,25725.0,N,-72750.0,Y,-0.30000000000000426
2025-04-01 11:30:00,15.75,440100,0.049999999999998934,72225,8100.0,N,33900.0,YES,-0.37999999999999545
2025-04-01 11:35:00,15.25,583425,-1.7763568394002505e-15,60825,-115350.0,YES,57675.0,YES,-0.5600000000000023
2025-04-01 11:40:00,15.2,526125,-1.7763568394002505e-15,66225,84525.0,Y,-90525.0,Y,-0.38000000000000256
2025-04-01 11:45:00,16.15,1440675,3.552713678800501e-15,78150,117450.0,Y,-75450.0,N,-0.3500000000000014
2025-04-01 11:50:00,14.7,703800,-1.7763568394002505e-15,81525,-118875.0,YES,187500.0,YES,-0.269999999999996
2025-04-01 11:55:00,15.2,-859425,0.05000000000000071,74025,95775.0,Y,-96450.0,Y,-0.2700000000000031
2025-04-01 12:00:00,14.15,-307725,0.0,74475,39300.0,N,99375.0,YES,-0.259999999999998
2025-04-01 12:05:00,15.1,-1708650,0.0,78525,-34425.0,YES,-106950.0,Y,-0.28000000000000114
2025-04-01 12:10:00,15.6,-819675,0.0,75750,19725.0,Y,-84825.0,YES,-0.3200000000000003
2025-04-01 12:15:00,15.65,-46575,1.7763568394002505e-15,7200,-11625.0,YES,27300.0,YES,-0.030000000000001137
